date,home_team,away_team,tournament,city,country,neutral,home_elo,away_elo,elo_difference,home_rest_days,away_rest_days,rest_days_difference,home_score,away_score,target,result,home_matches_5,home_win_rate_5,home_draw_rate_5,home_loss_rate_5,home_avg_goals_for_5,home_avg_goals_against_5,home_avg_goal_difference_5,home_avg_points_5,home_clean_sheet_rate_5,home_scoring_rate_5,home_matches_10,home_win_rate_10,home_draw_rate_10,home_loss_rate_10,home_avg_goals_for_10,home_avg_goals_against_10,home_avg_goal_difference_10,home_avg_points_10,home_clean_sheet_rate_10,home_scoring_rate_10,away_matches_5,away_win_rate_5,away_draw_rate_5,away_loss_rate_5,away_avg_goals_for_5,away_avg_goals_against_5,away_avg_goal_difference_5,away_avg_points_5,away_clean_sheet_rate_5,away_scoring_rate_5,away_matches_10,away_win_rate_10,away_draw_rate_10,away_loss_rate_10,away_avg_goals_for_10,away_avg_goals_against_10,away_avg_goal_difference_10,away_avg_points_10,away_clean_sheet_rate_10,away_scoring_rate_10,h2h_matches,h2h_home_win_rate,h2h_draw_rate,h2h_away_win_rate,h2h_home_avg_goals,h2h_away_avg_goals,is_world_cup,is_world_cup_qualifier,is_friendly,is_nations_league,is_confederation_tournament
1909-09-19,Uruguay,Argentina,Copa Newton,Montevideo,Uruguay,0,1480.101954,1510.75463,-30.652676,35,35,0,2,2,1,DRAW,5.0,0.2,0.2,0.6,1.2,1.6,-0.4,0.8,0.2,1.0,9.0,0.222222,0.222222,0.555556,1.0,2.0,-1.0,0.888889,0.222222,0.666667,5.0,0.6,0.2,0.2,1.6,1.2,0.4,2.0,0.0,0.8,10.0,0.5,0.2,0.3,1.8,1.0,0.8,1.7,0.3,0.7,5.0,0.2,0.2,0.6,1.2,1.6,0,0,0,0,0
1909-10-10,Argentina,Uruguay,Copa Premio Honor Argentino,Buenos Aires,Argentina,0,1512.165486,1478.691098,33.474388,21,21,0,3,1,2,HOME_WIN,5.0,0.4,0.4,0.2,1.6,1.4,0.2,1.6,0.0,0.8,10.0,0.4,0.3,0.3,1.4,1.2,0.2,1.5,0.2,0.7,5.0,0.2,0.4,0.4,1.4,1.6,-0.2,1.0,0.2,1.0,10.0,0.2,0.3,0.5,1.1,2.0,-0.9,0.9,0.2,0.7,5.0,0.4,0.4,0.2,1.6,1.4,0,0,0,0,0
1910-04-02,Scotland,England,British Home Championship,Glasgow,Scotland,0,1585.011996,1704.052735,-119.040739,14,19,-5,2,0,2,HOME_WIN,5.0,0.4,0.0,0.6,1.6,1.2,0.4,1.2,0.4,0.6,10.0,0.5,0.2,0.3,2.0,0.9,1.1,1.7,0.4,0.8,5.0,0.8,0.2,0.0,4.4,1.2,3.2,2.6,0.2,1.0,10.0,0.9,0.1,0.0,4.1,0.6,3.5,2.8,0.6,1.0,5.0,0.2,0.4,0.4,0.8,1.2,0,0,0,0,0
1910-08-15,Uruguay,Argentina,Copa Lipton,Montevideo,Uruguay,0,1475.011392,1534.303501,-59.292109,60,60,0,3,1,2,HOME_WIN,5.0,0.2,0.2,0.6,1.6,2.2,-0.6,0.8,0.2,1.0,10.0,0.2,0.2,0.6,1.3,1.9,-0.6,0.8,0.2,0.9,5.0,0.8,0.2,0.0,3.4,1.2,2.2,2.6,0.0,1.0,10.0,0.7,0.2,0.1,2.5,1.2,1.3,2.3,0.0,0.9,5.0,0.2,0.2,0.6,1.2,2.2,0,0,0,0,0
1910-11-13,Argentina,Uruguay,Copa Premio Honor Argentino,Buenos Aires,Argentina,0,1533.186897,1484.416076,48.770821,60,60,0,1,1,1,DRAW,5.0,0.8,0.0,0.2,3.2,1.2,2.0,2.4,0.2,1.0,10.0,0.7,0.1,0.2,2.5,1.2,1.3,2.2,0.1,0.9,5.0,0.4,0.2,0.4,2.0,2.0,0.0,1.4,0.2,1.0,10.0,0.3,0.2,0.5,1.6,1.8,-0.2,1.1,0.2,1.0,5.0,0.6,0.2,0.2,2.4,1.6,0,0,0,0,0
1910-11-27,Argentina,Uruguay,Copa Premio Honor Argentino,Buenos Aires,Argentina,0,1529.641451,1487.961522,41.679929,14,14,0,2,6,0,AWAY_WIN,5.0,0.6,0.2,0.2,2.8,1.2,1.6,2.0,0.2,1.0,10.0,0.6,0.2,0.2,2.4,1.2,1.2,2.0,0.1,0.9,5.0,0.4,0.2,0.4,1.8,1.8,0.0,1.4,0.2,1.0,10.0,0.3,0.3,0.4,1.6,1.7,-0.1,1.2,0.2,1.0,5.0,0.4,0.4,0.2,2.2,1.6,0,0,0,0,0
1911-04-01,England,Scotland,British Home Championship,Liverpool,England,0,1696.730081,1595.861746,100.868335,19,14,5,1,1,1,DRAW,5.0,0.6,0.2,0.2,1.4,0.8,0.6,2.0,0.4,0.8,10.0,0.8,0.1,0.1,3.1,0.9,2.2,2.5,0.4,0.9,5.0,0.6,0.2,0.2,1.4,0.6,0.8,2.0,0.6,0.8,10.0,0.5,0.2,0.3,2.0,0.9,1.1,1.7,0.5,0.8,5.0,0.2,0.4,0.4,1.0,1.2,0,0,0,0,0
1911-08-15,Argentina,Uruguay,Copa Lipton,Buenos Aires,Argentina,0,1516.275718,1501.327255,14.948463,60,60,0,0,2,0,AWAY_WIN,5.0,0.4,0.2,0.4,2.2,2.2,0.0,1.4,0.2,1.0,10.0,0.6,0.2,0.2,2.6,1.7,0.9,2.0,0.1,1.0,5.0,0.6,0.2,0.2,2.8,1.6,1.2,2.0,0.2,1.0,10.0,0.4,0.2,0.4,2.0,1.7,0.3,1.4,0.2,1.0,5.0,0.4,0.2,0.4,2.2,2.4,0,0,0,0,0
1911-09-17,Uruguay,Argentina,Copa Newton,Montevideo,Uruguay,0,1513.994031,1503.608942,10.385089,33,33,0,2,3,0,AWAY_WIN,5.0,0.6,0.2,0.2,2.6,1.6,1.0,2.0,0.2,1.0,10.0,0.5,0.2,0.3,2.1,1.5,0.6,1.7,0.3,1.0,5.0,0.2,0.2,0.6,1.4,2.4,-1.0,0.8,0.2,0.8,10.0,0.5,0.2,0.3,2.4,1.8,0.6,1.7,0.1,0.9,5.0,0.6,0.2,0.2,2.6,1.6,0,0,0,0,0
1911-10-08,Uruguay,Argentina,Copa Premio Honor Uruguayo,Montevideo,Uruguay,0,1501.44968,1516.153293,-14.703613,21,21,0,1,1,1,DRAW,5.0,0.6,0.2,0.2,2.8,1.4,1.4,2.0,0.2,1.0,10.0,0.4,0.2,0.4,2.2,1.8,0.4,1.4,0.2,1.0,5.0,0.4,0.2,0.4,1.8,2.2,-0.4,1.4,0.2,0.8,10.0,0.6,0.1,0.3,2.5,1.8,0.7,1.9,0.1,0.9,5.0,0.6,0.2,0.2,2.8,1.4,0,0,0,0,0
1911-10-22,Argentina,Uruguay,Copa Premio Honor Argentino,Buenos Aires,Argentina,0,1518.010855,1499.592118,18.418737,14,14,0,2,0,2,HOME_WIN,5.0,0.2,0.4,0.4,1.4,2.4,-1.0,1.0,0.0,0.8,10.0,0.5,0.2,0.3,2.3,1.8,0.5,1.7,0.1,0.9,5.0,0.4,0.4,0.2,2.4,1.4,1.0,1.6,0.2,1.0,10.0,0.4,0.3,0.3,2.2,1.7,0.5,1.5,0.2,1.0,5.0,0.2,0.4,0.4,1.4,2.4,0,0,0,0,0
1911-10-29,Uruguay,Argentina,Copa Premio Honor Uruguayo,Montevideo,Uruguay,0,1492.351424,1525.251549,-32.900125,7,7,0,3,0,2,HOME_WIN,5.0,0.4,0.2,0.4,2.2,1.6,0.6,1.4,0.2,0.8,10.0,0.4,0.2,0.4,2.0,1.7,0.3,1.4,0.2,0.9,5.0,0.4,0.2,0.4,1.6,2.2,-0.6,1.4,0.2,0.8,10.0,0.5,0.2,0.3,2.2,1.7,0.5,1.7,0.2,0.9,5.0,0.4,0.2,0.4,2.2,1.6,0,0,0,0,0
1912-03-23,Scotland,England,British Home Championship,Glasgow,Scotland,0,1609.125181,1700.051458,-90.926277,7,12,-5,1,1,1,DRAW,5.0,0.6,0.4,0.0,2.0,0.8,1.2,2.2,0.4,1.0,10.0,0.6,0.2,0.2,1.8,0.7,1.1,2.0,0.5,0.8,5.0,0.8,0.2,0.0,2.8,0.6,2.2,2.6,0.4,1.0,10.0,0.7,0.2,0.1,3.2,0.9,2.3,2.3,0.3,0.9,5.0,0.2,0.6,0.2,1.0,1.0,0,0,0,0,0
